,doc2vec_dm,doc2vec_dm_mean,doc2vec_docs,doc2vec_epochs,doc2vec_hs,doc2vec_learning_rate_end,doc2vec_learning_rate_start,doc2vec_min_count,doc2vec_negative,doc2vec_vector_size,doc2vec_window,f1,nn_batch_size,nn_dense_activation_function,nn_dropout,nn_epochs,nn_features,nn_hidden_neurons,nn_layers,nn_lstm_activation_function,nn_lstm_n_prev,precision,recall
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,16,5,0.43257771266282835,15,linear,0.05,20,"bpm, measure, beat",30,20,selu,12,0.47246712814466063,0.41307211011385164
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,16,10,0.6899912659926944,15,linear,0.1,20,"bpm, measure, beat",30,10,selu,16,0.7082245050497988,0.6897902561993973
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,16,5,0.7484412608414427,25,linear,0.1,20,"bpm, measure, beat",30,15,selu,16,0.8072422899080044,0.7256519940152999
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,16,5,0.6321632908612527,15,linear,0.1,40,"bpm, measure, beat",30,20,selu,12,0.7029631546650733,0.5998395949529697
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,16,5,0.7493630888865583,25,linear,0.05,20,"bpm, measure, beat",30,15,selu,16,0.7884819030147862,0.7364486753144807
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,24,1,0.6589474857675383,15,linear,0.1,40,"bpm, measure, beat",40,20,selu,12,0.743142013929709,0.6172893268783924
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,20,5,0.5564923526550831,25,linear,0.0,20,"bpm, measure, beat",30,20,selu,12,0.635467716134091,0.5174437761075183
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,24,1,0.6598925821535958,25,linear,0.1,40,"bpm, measure, beat",40,10,selu,12,0.7288388594206676,0.6338744264891106
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,20,1,0.7298366415096923,25,linear,0.0,20,"bpm, measure, beat",30,15,selu,16,0.7463124899078935,0.7461316134626529
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,16,1,0.6711588434420378,25,linear,0.1,20,"bpm, measure, beat",40,10,selu,12,0.7276692697999859,0.6557365003279213
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,20,1,0.5474435761355144,25,linear,0.1,40,"bpm, measure, beat",30,10,selu,12,0.5873585769741115,0.535625602849084
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,24,5,0.6571910770333157,15,linear,0.0,20,"bpm, measure, beat",30,10,selu,16,0.6780844945845271,0.6538110661463256
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,20,10,0.5789578953150984,25,linear,0.05,40,"bpm, measure, beat",30,10,selu,16,0.5891842026556043,0.581596566177492
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,24,5,0.6320316052613624,25,linear,0.05,40,"bpm, measure, beat",40,15,selu,12,0.6962189867409595,0.6061787074772162
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,20,10,0.574725853776585,15,linear,0.0,40,"bpm, measure, beat",40,15,selu,12,0.6489150711725471,0.5391252025912188
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,24,5,0.50320590393877,25,linear,0.0,20,"bpm, measure, beat",30,15,selu,12,0.5459045599086979,0.4818565759538059
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,16,10,0.5400164673585438,15,linear,0.0,20,"bpm, measure, beat",30,15,selu,16,0.5769064856385508,0.5324306342809232
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,20,10,0.7098988930450334,15,linear,0.05,20,"bpm, measure, beat",40,10,selu,16,0.7479215115714499,0.7014915601781797
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,20,1,0.6973235169158043,25,linear,0.1,40,"bpm, measure, beat",40,10,selu,16,0.7419257043388706,0.6810000475357874
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,20,5,0.6538225616684359,25,linear,0.1,20,"bpm, measure, beat",30,15,selu,16,0.7015988948761785,0.6367837101330577
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,20,1,0.7292395124862826,25,linear,0.1,40,"bpm, measure, beat",30,10,selu,16,0.7695509699242739,0.7168650222243679
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,24,10,0.7044270892579666,25,linear,0.05,20,"bpm, measure, beat",30,10,selu,16,0.7488096724414325,0.6957928238717696
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,24,10,0.6237117385465111,25,linear,0.0,40,"bpm, measure, beat",40,20,selu,16,0.6719661116077398,0.6073207794463394
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,20,1,0.6773551938766508,15,linear,0.05,40,"bpm, measure, beat",30,10,selu,16,0.7237637967073791,0.6604153684495176
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,16,10,0.486500874929827,15,linear,0.05,40,"bpm, measure, beat",40,10,selu,12,0.5411073615613097,0.46340770886993604
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,24,10,0.7233376245016835,15,linear,0.0,20,"bpm, measure, beat",40,15,selu,16,0.7293569462270364,0.7436007674532638
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,24,10,0.6100398111678419,15,linear,0.05,20,"bpm, measure, beat",30,10,selu,12,0.6778517151096604,0.5818472259922475
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,20,10,0.6400600104326204,15,linear,0.0,40,"bpm, measure, beat",30,20,selu,12,0.7240195117078229,0.6011564957886465
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,24,1,0.6157268360605376,25,linear,0.0,40,"bpm, measure, beat",30,10,selu,16,0.6528790040346231,0.6035717410287299
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,16,5,0.6114206866046229,25,linear,0.1,40,"bpm, measure, beat",30,20,selu,12,0.682390339791891,0.5763749652029283
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,16,5,0.5082189689258154,15,linear,0.05,20,"bpm, measure, beat",40,20,selu,12,0.563402603456144,0.4808904481324781
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,16,1,0.5104116963236508,25,linear,0.1,20,"bpm, measure, beat",30,20,selu,12,0.5529337551935555,0.4919636064104987
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,16,5,0.6151680575046157,15,linear,0.0,40,"bpm, measure, beat",30,15,selu,16,0.6200716532632393,0.6576139198842568
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,20,1,0.6237634489747713,25,linear,0.1,20,"bpm, measure, beat",30,15,selu,16,0.6120684948153623,0.6566650722756676
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,24,5,0.7038799190522882,25,linear,0.0,20,"bpm, measure, beat",30,10,selu,16,0.746059986094395,0.6914549520730136
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,20,5,0.6592830905018591,25,linear,0.1,20,"bpm, measure, beat",30,10,selu,12,0.7246095860480878,0.6343894216543614
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,20,1,0.6284391530477217,15,linear,0.05,40,"bpm, measure, beat",40,15,selu,12,0.6943691784495463,0.6071778351628678
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,16,10,0.46680625400037457,15,linear,0.0,20,"bpm, measure, beat",40,20,selu,12,0.5293391660593526,0.4359789031628248
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,20,10,0.5873879973694567,15,linear,0.0,40,"bpm, measure, beat",30,15,selu,12,0.6318293465820615,0.5758711343939501
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,24,10,0.5206841371057083,25,linear,0.1,20,"bpm, measure, beat",40,15,selu,12,0.5931837479972534,0.4875105676535629
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,24,10,0.6684274421695703,25,linear,0.0,20,"bpm, measure, beat",40,10,selu,16,0.6853684291715845,0.6723686490939623
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,16,5,0.6665696324188756,15,linear,0.05,20,"bpm, measure, beat",30,15,selu,12,0.7482461199826643,0.6288076246306086
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,16,5,0.5146771552439279,25,linear,0.1,20,"bpm, measure, beat",40,20,selu,16,0.5519534434128993,0.4971805636708577
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,16,1,0.6780206634553191,15,linear,0.1,40,"bpm, measure, beat",40,15,selu,16,0.7081508430758577,0.6730654368030203
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,24,5,0.7107746372714238,15,linear,0.05,40,"bpm, measure, beat",30,10,selu,16,0.7342258778537426,0.7182448178130837
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,24,1,0.5751611889432643,25,linear,0.05,20,"bpm, measure, beat",30,15,selu,12,0.649360546922534,0.5411377459472565
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,24,5,0.7515716958974767,25,linear,0.0,40,"bpm, measure, beat",40,20,selu,16,0.8033990492472607,0.738547805742508
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,20,10,0.7669424759634461,25,linear,0.1,20,"bpm, measure, beat",40,10,selu,16,0.8082023093514361,0.7543024511634523
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,16,5,0.6172577438560697,15,linear,0.0,20,"bpm, measure, beat",40,10,selu,12,0.6884554548013503,0.5869493143904547
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,24,1,0.6695176352440705,25,linear,0.1,40,"bpm, measure, beat",30,15,selu,12,0.7507808772242738,0.6319622502475961
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,16,5,0.5731910387553217,15,linear,0.0,40,"bpm, measure, beat",30,20,selu,12,0.6281729302292298,0.5507102249332329
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,24,5,0.6682362451319598,15,linear,0.0,40,"bpm, measure, beat",40,15,selu,12,0.7417472540391431,0.6389013684571454
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,20,10,0.5795391948565171,25,linear,0.05,20,"bpm, measure, beat",40,10,selu,12,0.6437058228888314,0.5512710133884694
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,20,5,0.614696728150601,15,linear,0.1,40,"bpm, measure, beat",40,10,selu,16,0.6371883099695864,0.6098912447773058
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,20,1,0.5909544920811237,25,linear,0.0,20,"bpm, measure, beat",40,10,selu,12,0.6272131542839608,0.5835263182735883
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,16,5,0.5957597929733229,25,linear,0.1,40,"bpm, measure, beat",30,10,selu,16,0.6235423668715884,0.5895260534032202
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,20,10,0.7108637067593117,15,linear,0.05,40,"bpm, measure, beat",30,15,selu,16,0.7429902932662135,0.7114690074990015
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,20,1,0.6497872734289549,25,linear,0.05,40,"bpm, measure, beat",40,15,selu,12,0.7222301209669211,0.6205540267710802
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,24,1,0.5657524628439389,25,linear,0.0,40,"bpm, measure, beat",30,20,selu,16,0.5866835520441961,0.5840159527882699
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,24,10,0.5778765486354919,25,linear,0.1,40,"bpm, measure, beat",40,10,selu,16,0.6331205043306581,0.5591479478319704
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,16,1,0.44707318703333726,15,linear,0.05,20,"bpm, measure, beat",30,20,selu,12,0.4831146957811557,0.42935988961545385
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,20,10,0.5634864485088465,25,linear,0.05,20,"bpm, measure, beat",30,15,selu,16,0.5746414701098853,0.5657645502513385
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,16,1,0.5997183040114297,25,linear,0.05,40,"bpm, measure, beat",30,15,selu,12,0.6703481467751465,0.5674796186231984
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,24,1,0.7605740954374337,15,linear,0.05,20,"bpm, measure, beat",30,15,selu,16,0.8108003158447877,0.7472201737442274
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,24,10,0.6555759571016339,15,linear,0.0,20,"bpm, measure, beat",30,20,selu,16,0.7328982976454249,0.6231357601739994
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,16,1,0.6359221878003934,25,linear,0.1,20,"bpm, measure, beat",40,10,selu,16,0.6471845866411859,0.6397869360928504
